,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
360,"A breathtaking panoramic view of Rio de Janeiro at sunset, with Sugarloaf Mountain, bright city lights, and scattered boats reflecting on the peaceful bay. I chose this image because it captures the city's tropical beauty and lively coastal atmosphere.",Brazil,Sunny,Evening,Summer,sightseeing,1211458,Consistent
361,"A peaceful winter evening view of Zurich�s old town, with snow-covered rooftops, glowing street lights, and the river reflecting the city�s charm. I chose this image because it captures Zurich�s cozy and magical winter atmosphere.",Switzerland,Snowy,Evening,Winter,sightseeing,1211458,Contradictory
362,"A vibrant sunset view of Marrakech with the Koutoubia Mosque glowing beneath dramatic clouds. I chose this image because it highlights the city�s rich culture, warm colors, and lively public atmosphere.",Morocco,Sunny,Evening,Fall,sightseeing,1211458,Consistent
363,"A tropical view of Bora Bora with turquoise water, lush green mountains, and traditional overwater bungalows. I chose this image because it shows the island�s paradise-like scenery and peaceful escape vibe.",French Polynesia,Sunny,Afternoon,Summer,relaxing,1211458,Consistent
364,"A majestic aerial view of the Colosseum glowing warmly at dusk, surrounded by the historic city of Rome. I chose this image because it reflects the ancient grandeur and cultural richness of one of the world�s most iconic landmarks.",Italy,Sunny,Evening,Fall,sightseeing,1211458,Consistent
365,"A stunning view of Los Angeles with golden-lit skyscrapers, snowy mountains in the background, and a full moon rising. I chose this image because it shows a rare and dramatic contrast between the warm city lights and the winter mountains.",United states,Sunny,Evening,Winter,sightseeing,1211458,Consistent
366,"A peaceful scene of the Golden Pavilion in Kyoto reflecting on a calm pond, surrounded by lush greenery and soft sunlight. I chose this image because it captures the elegance, serenity, and traditional beauty of Japanese architecture.",Japan,Sunny,Afternoon,Spring,sightseeing,1211458,Consistent
367,A bright daytime view of Paris with the Eiffel Tower rising above the classic Haussmann-style buildings and long tree-lined avenues. I chose this image because it captures the elegant and lively atmosphere of Paris during a sunny day.,France,Sunny,Afternoon,Spring,sightseeing,1211458,Consistent
368,"A bright and colorful view of the Ortak�y Mosque by the Bosphorus, with boats on the water and the Bosphorus Bridge in the background. I chose this image because it beautifully captures Istanbul�s blend of history, culture, and scenic waterfront life.",Turkey,Sunny,Afternoon,Summer,sightseeing,1211458,Consistent
369,The Eiffel Tower stands as an iconic symbol of Paris surrounded by trees and radiating charm and wonder. I chose this place because it feels like a dream I hope will come true,France,Cloudy,Afternoon,Spring,sightseeing,1211642,Consistent
370,Burj Khalifa surrounded by lights and people. I chose this place because it symbolizes human ambition and the thrill of seeing the tall buildings.,United Arab Emirates,Cloudy,Evening,Winter,sightseeing,1211642,Consistent
371,"A peaceful autumn scene at Inokashira Park in Tokyo, with a calm lake, vibrant fall trees, and clear blue sky. I chose this destination as it is perfect for quiet reflection and enjoying nature.",Japan,Sunny,Afternoon,Fall,relaxing,1211642,Consistent
372,"A peaceful hiking trail in Collserola Natural Park near Barcelona, surrounded by green forests and gentle hills. I chose this place because it's a quiet natural escape, perfect for experiencing nature.",Spain,Sunny,Morning,Spring,hiking,1211642,Consistent
373,"Hallstatt, a picturesque lakeside village framed by snow-covered Alps mountains. I chose this place as it is famed for its stunning natural beauty and charming architecture.",Austria,Snowy,Evening,Winter,sightseeing,1211642,Contradictory
374,"A colorful, narrow Mediterranean street lined with outdoor caf� tables, blue awnings. I chose this place because it looks peaceful, warm, and inviting, a perfect spot to relax and explore.",Greece,Sunny,Afternoon,Summer,relaxing,1211642,Consistent
375,"This image captures a rainy day in Eski?ehir, Turkey, with people walking along a modern street lined with shops and tram tracks. I chose this place for its vibrant urban life and unique blend of modern cityscapes with cultural charm.",Turkey,Rainy,Afternoon,Fall,walking,1211642,Consistent
376,"A stunning overwater resort surrounded by crystal-clear turquoise waters, showcasing the iconic tropical scenery. I chose this place because it is a world-famous luxury getaway.",Maldives,Sunny,Morning,Summer,walking,1211642,Consistent
377,"A clear view of the Kaaba in Masjid al-Haram, surrounded by worshippers in prayer. I chose this destination because it is a deeply sacred religious site and visiting it has always been one of my biggest dreams.",Saudi Arabia,Sunny,Afternoon,Summer,religious,1211642,Consistent
378,"The Dome of the Rock, an iconic Islamic shrine in Jerusalem, is famous for its golden dome and intricate blue tiles. I chose it because of its spiritual importance, rich history, and architectural beauty.",Palestine,Sunny,Afternoon,Fall,sightseeing,1211642,Consistent
379,A view of the Dome of the Rock with the Church of the Holy Sepulchre behind it.,Jerusalem,Sunny,Afternoon,Summer,sightseeing,1211968,Consistent
380,Tokyo Tower standing above the city.,Tokyo/Japan,Sunny,Afternoon,Spring,sightseeing,1211968,Consistent
381,Masjid Sultan � a beautiful mosque known for its golden dome and historic charm.,Singapore,Not Clear,Afternoon,Not Clear,sightseeing,1211968,Contradictory
382,A peaceful nature view with green valleys and mountains,Switzerland,Cloudy,Afternoon,Spring,relaxing,1211968,Consistent
383,"A scenic view of Como city from Baradello Castle, overlooking the lake and surrounding hills.",Italy,Sunny,Afternoon,Spring,sightseeing,1211968,Consistent
384,"A view of Mal�, the capital of the Maldives, known for its colorful buildings and island atmosphere.",Maldives,Sunny,Afternoon,Spring,sightseeing,1211968,Consistent
385,The Pyramids of Giza in Egypt � one of the world�s most iconic ancient landmarks.,Egypt,Sunny,Afternoon,Summer,sightseeing,1211968,Consistent
386,"The red desert dunes of Djanet, Algeria � a stunning natural landscape with warm desert colors.",Algeria,Sunny,Afternoon,Not Clear,sightseeing,1211968,Consistent
387,The Northern Lights glowing above Bear Lake at Eielson Air Force Base in Alaska.,"North Pole, Alaska",Cloudy,Evening,Winter,sightseeing,1211968,Consistent
388,"The Giant Forest in California, home to massive sequoia trees and one of the most impressive natural landscapes.","California, USA",Sunny,Afternoon,Not Clear,sightseeing,1211968,Consistent
389,"I chose Dome of the Rock because it is holy and in my heart. I feel natural love and longing to visit it, even though occupation stops us.",Palestine,Sunny,Morning,Spring,religious,1211974,Consistent
390,I chose the Eiffel Tower because it�s iconic and full of charm. The lights at night make me feel excited to explore.,France,Cloudy,Evening,Fall,sightseeing,1211974,Consistent
391,"I chose Cappadocia because the hot air balloons at sunrise look magical. I dream of being there, feeling free in the sky.",Turkey,Sunny,Morning,Summer,sightseeing,1211974,Consistent
392,"I chose Sydney because it feels alive and full of energy. The mix of water, buildings, and landmarks makes me want to discover more.",Australia,Sunny,Afternoon,Summer,sightseeing,1211974,Consistent
393,I chose Verona because it feels full of history and soul. The river and sunset make me imagine quiet walks and old stories.,Italy,Cloudy,Evening,Fall,relaxing,1211974,Consistent
394,I chose Dubai Miracle Garden because it looks like a fairytale. The flower houses and colors are creative and peaceful.,United Arab Emirates,Sunny,Afternoon,Spring,relaxing,1211974,Consistent
395,I chose the Maldives because the sea and wooden path make me feel calm. It looks like the perfect escape to rest and breathe.,Maldives,Sunny,Afternoon,Summer,relaxing,1211974,Consistent
396,I chose Hallstatt because it looks peaceful and quiet. The lake and mountains make me feel like I�m in a storybook.,Austria,Cloudy,Morning,Spring,relaxing,1211974,Consistent
